element,sp_num,obs_wl_vac(A),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,tp_ref,line_ref,
Hg,1,760.724,0.009,a,,,0,1,,,L400,
Hg,1,767.527,0.009,a,,,0,1,,,L400,
Hg,1,768.951,0.009,a,,,0,1,,,L400,
Hg,1,769.67,0.05,a,,,0,1,,,L400,
Hg,1,782.64,0.05,a,,,0,1,,,L400,
Hg,1,785.840,0.009,a,,,0,1,,,L400,
Hg,1,787.57,0.07,10h,,,0,1,,,L15166c86,
Ar,1,802.859,0.010,20,,,,,,,L2131,
Ar,1,806.471,0.010,100,,,,,,,L2131,
Ar,1,806.869,0.010,60,,,,,,,L2131,
Ar,1,807.218,0.010,30,,,,,,,L2131,
Ar,1,807.653,0.010,40,,,,,,,L2131,
Ar,1,809.927,0.010,50,,,,,,,L2131,
Ar,1,816.232,0.010,120,,,,,,,L2131,
Ar,1,816.464,0.010,70,,,,,,,L2131,
Ar,1,820.124,0.010,80,,,,,,,L2131,
Ar,1,825.346,0.010,120,,,,,,,L2131,
Ar,1,826.365,0.010,120,,,,,,,L2131,
Hg,1,828.44,0.05,a,,,0,1,,,L400,
Hg,1,833.66,0.07,20h,s,,,0,1,,,L15166c86,
Ar,1,834.392,0.010,150,,,,,,,L2131,
Ar,1,835.002,0.010,100,,,,,,,L2131,
Hg,1,838.422,0.009,a,,,0,1,,,L400,
Hg,1,838.870,0.009,a,,,0,1,,,L400,
Hg,1,839.371,0.009,a,,,0,1,,,L400,
Hg,1,840.071,0.009,a,,,0,1,,,L400,
Hg,1,840.827,0.025,a*,,,0,1,,,L2725,
Hg,1,840.827,0.025,a*,,,0,1,,,L2725,
Hg,1,840.960,0.009,a,,,0,1,,,L400,
Hg,1,841.877,0.009,a*,,,0,1,,,L400,
Hg,1,841.877,0.009,a*,,,0,1,,,L400,
Hg,1,841.922,0.009,a,,,0,1,,,L400,
Ar,1,842.805,0.010,100,,,,,,,L2131,
Hg,1,843.238,0.009,a*,,,0,1,,,L400,
Hg,1,843.238,0.009,a*,,,0,1,,,L400,
Hg,1,843.339,0.009,a,,,0,1,,,L400,
Hg,1,845.059,0.009,a*,,,0,1,,,L400,
Hg,1,845.059,0.009,a*,,,0,1,,,L400,
Hg,1,845.225,0.009,a,,,0,1,,,L400,
Kr,1,847.646,0.010,,,,0,1,,,L4676,
Hg,1,847.692,0.009,a*,,,0,1,,,L400,
Hg,1,847.692,0.009,a*,,,0,1,,,L400,
Kr,1,847.903,0.010,,,,0,1,,,L4676,
Hg,1,847.962,0.009,a,,,0,1,,,L400,
Kr,1,848.173,0.010,5,,,0,1,,,L4676,
Kr,1,848.209,0.010,,,,0,1,,,L4676,
Kr,1,848.532,0.010,7,,,0,1,,,L4676,
Kr,1,848.577,0.010,,,,0,1,,,L4676,
Kr,1,848.964,0.010,8,,,0,1,,,L4676,
Kr,1,849.018,0.010,,,,0,1,,,L4676,
Kr,1,849.495,0.010,9,,,0,1,,,L4676,
Kr,1,849.564,0.010,,,,0,1,,,L4676,
Kr,1,850.154,0.010,10,,,0,1,,,L4676,
Kr,1,850.241,0.010,,,,0,1,,,L4676,
Kr,1,850.988,0.010,13,,,0,1,,,L4676,
Kr,1,851.098,0.010,,,,0,1,,,L4676,
Hg,1,851.527,0.009,a*,,,0,1,,,L400,
Hg,1,851.527,0.009,a*,,,0,1,,,L400,
Hg,1,851.993,0.009,a,,,0,1,,,L400,
Kr,1,852.064,0.010,18,,,0,1,,,L4676,
Kr,1,852.208,0.010,,,,0,1,,,L4676,
Kr,1,853.486,0.010,20,,,0,1,,,L4676,
Kr,1,853.676,0.010,,,,0,1,,,L4676,
Kr,1,855.424,0.010,24,,,0,1,,,L4676,
Kr,1,855.687,0.010,,,,0,1,,,L4676,
Hg,1,857.537,0.009,a*,,,0,1,,,L400,
Hg,1,857.537,0.009,a*,,,0,1,,,L400,
Kr,1,858.157,0.010,27,,,0,1,,,L4676,
Hg,1,858.341,0.009,a,,,0,1,,,L400,
Kr,1,858.534,0.010,,,,0,1,,,L4676,
Kr,1,862.198,0.010,35,,,0,1,,,L4676,
Kr,1,862.77,0.10,,,,0,1,,,L4676,
Ar,1,866.800,0.010,180,3.13e+08,C+,0,1,,T1355,T1618n,L2131,
Hg,1,867.724,0.009,a,,,0,1,,,L400,
Hg,1,867.852,0.025,a,,,0,1,,,L2725,
Kr,1,868.543,0.010,44,,,0,1,,,L4676,
Hg,1,869.25,0.05,a,,,0,1,,,L400,
Kr,1,869.42,0.10,,,,0,1,,,L4676,
Ar,1,869.754,0.010,150,3.50e+07,C,0,1,,T1355,T1618n,T1372,L2131,
Ar,1,876.058,0.010,180r,2.70e+08,C+,0,1,,T1355,T1618n,L2131,
Kr,1,879.388,0.010,46,,,0,1,,,L4676,
Ar,1,879.947,0.010,180r,7.7e+07,C,0,1,,T1355,T1618n,T1372,L2131,
Kr,1,880.82,0.10,,,,0,1,,,L4676,
Hg,1,887.127,0.025,a,,,0,1,,,L2725,
Hg,1,887.301,0.025,a,,,0,1,,,L2725,
Kr,1,888.058,0.010,14,,,0,1,,,L4676,
Kr,1,888.134,0.010,1,,,0,1,,,L4676,
Kr,1,888.339,0.010,15,,,0,1,,,L4676,
Kr,1,888.428,0.010,2,,,0,1,,,L4676,
Kr,1,888.642,0.010,10,,,0,1,,,L4676,
