#Element, Wavelength, Intensity
CuNeAr,8840.82,0.
CuNeAr,8849.97,0.
CuNeAr,8853.867,0.
CuNeAr,8865.67,0.
CuNeAr,8865.755,0.
CuNeAr,8874.84,0.
CuNeAr,8905.658,0.
CuNeAr,8919.50,0.
CuNeAr,8931.326,0.
CuNeAr,8962.147,0.
CuNeAr,8962.19,0.
CuNeAr,8970.98,0.
CuNeAr,8986.615,0.
CuNeAr,8988.58,0.
CuNeAr,9008.455,0.
CuNeAr,9017.596,0.
CuNeAr,9057.23,0.
CuNeAr,9066.77,0.
CuNeAr,9073.34,0.
CuNeAr,9075.395,0.
CuNeAr,9122.9674,0.
CuNeAr,9148.68,0.
CuNeAr,9194.639,0.
CuNeAr,9198.61,0.
CuNeAr,9201.76,0.
CuNeAr,9219.003,0.
CuNeAr,9220.05,0.
CuNeAr,9221.59,0.
CuNeAr,9354.220,0.
CuNeAr,9373.28,0.
CuNeAr,9402.69,0.
CuNeAr,9425.38,0.
CuNeAr,9459.09,0.
CuNeAr,9459.21,0.
CuNeAr,9486.680,0.
CuNeAr,9534.17,0.
CuNeAr,9547.40,0.
CuNeAr,9657.786,0.
CuNeAr,9665.424,0.
CuNeAr,9784.503,0.
